Time,{2^* 1^* 0^* 1^* 2^* 3^ 4^ 5^ 6^ 7^ 8^},<2^ 1^ 0^ 1^ 2^ 3^* 4^* 5^* 6^* 7^* 8^*>,[2^ 1^ 0^ 1^ 2^ 3^* 4^* 5^* 6^* 7^* 8^*],{0^*}<A>[1^ 2^]:[7]::[3^* 4^*]<5^*>{A},{0^*}<A>[1^ 2^]:[7]::{2^* 1^* 0^* 1^* 2^*}[3^* 4^* 5^*]{6^ 7^ 8^},<2^ 1^>[0^ 1^ 2^]<3^* 4^* 5^* 6^* 7^* 8^*>:[7]::{2^* 1^* 0^* 1^* 2^*}[3^* 4^* 5^*]{6^ 7^ 8^},{0^* 1^* 2^*}[7]::{2^* 1^* 0^* 1^* 2^*}[3^* 4^* 5^*]{6^ 7^ 8^},{0^* 1^* 2^*}[7]<3^* 4^* 5^*>,<2^ 1^>[0^ 1^ 2^]<3^* 4^* 5^* 6^* 7^* 8^*>:[7]<3^* 4^* 5^*>,<A 1^ 2^>,{0^*}<A>[1^ 2^]:[7]<3^* 4^* 5^*>,{2^* 1^* 0^*}<A>[1^ 2^]{3^ 4^ 5^ 6^ 7^ 8^},{3^ 4^ A},{0^* 1^* 2^*}[7]::[3^* 4^*]<5^*>{A},<2^ 1^>[0^ 1^ 2^]<3^* 4^* 5^* 6^* 7^* 8^*>:[7]::[3^* 4^*]<5^*>{A},<2^ 1^ 0^ 1^ 2^>[3^* 4^*]<5^* 6^* 7^* 8^*>{A}
0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0
694.314144009357,0,0,88,82,7,1,0,0,0,7,0,4,7,0,10,1
